species_number,adore_species_number,latin_name,resolved_name,ecotox_group,tax_group,n_records_field,n_records_adore,in_adore_processed,in_adore_public,in_phylo,in_deb
366,366,Artemia salina,Artemia salina,Crustaceans,crusta,805,439,1,0,1,0
22,22,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Fish;Standard Test Species;U.S. Threatened and Endangered Species,fish,712,334,1,1,1,1
34,34:11611:11783:32408:32409,Oncorhynchus clarkii,Oncorhynchus clarkii,Fish,fish,700,567,1,0,1,0
532,,Tubifex tubifex,Tubifex tubifex,Worms;Standard Test Species,other,670,0,0,0,0,0
482,,Algae,Algae,Algae,algae,644,0,0,0,0,0
17449,17449,Desmodesmus subspicatus,Desmodesmus subspicatus,Algae;Standard Test Species,algae,630,406,1,0,0,0
479,479:17520,Chlorella vulgaris,Chlorella vulgaris,Algae;Standard Test Species,algae,623,220,1,1,1,0
84,84,Petromyzon marinus,Petromyzon marinus,Fish;U.S. Invasive Species,fish,617,66,1,1,1,1
57,57,Fundulus heteroclitus,Fundulus heteroclitus,Fish;Standard Test Species,fish,593,378,1,1,1,1
67,,Crassostrea virginica,Crassostrea virginica,Molluscs;Standard Test Species,other,588,0,0,0,0,0
49,49:2385:4757,Salmo trutta,Salmo trutta,Fish;Standard Test Species,fish,576,311,1,1,1,1
352,352,Heteropneustes fossilis,Heteropneustes fossilis,Fish,fish,572,472,1,0,1,0
7,7,Gammarus fasciatus,Gammarus fasciatus,Crustaceans;Standard Test Species,crusta,570,431,1,0,1,0
82,82,Salvelinus namaycush,Salvelinus namaycush,Fish;Standard Test Species,fish,567,307,1,1,1,1
426,426,Chlorella pyrenoidosa,Chlorella pyrenoidosa,Algae,algae,566,296,1,0,0,0
81,,Chironomus plumosus,Chironomus plumosus,Insects/Spiders,other,557,0,0,0,0,0
134,134,Oreochromis mossambicus,Oreochromis mossambicus,Fish,fish,549,451,1,1,1,1
372,372,Gammarus pulex,Gammarus pulex,Crustaceans;Standard Test Species,crusta,549,398,1,1,1,1
85,,Chironomus tentans,Chironomus tentans,Insects/Spiders;Standard Test Species,other,523,0,0,0,0,0
14,14,Rasbora heteromorpha,Rasbora heteromorpha,Fish,fish,512,346,1,0,0,0
38,38,Perca flavescens,Perca flavescens,Fish,fish,498,259,1,1,1,1
68,68,Salmo salar,Salmo salar,Fish;Standard Test Species;U.S. Threatened and Endangered Species,fish,479,292,1,1,1,1
318,318,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,Algae;Standard Test Species,algae,476,238,1,1,1,0
485,485,Oreochromis niloticus,Oreochromis niloticus,Fish,fish,466,363,1,1,1,1
1747,,Brachionus calyciflorus,Brachionus calyciflorus,Other Invertebrates;Standard Test Species,other,463,0,0,0,0,0
418,418,Channa punctata,Channa punctata,Fish,fish,452,369,1,1,1,1
89,89,Micropterus salmoides,Micropterus salmoides,Fish,fish,451,269,1,1,1,1
27,27,Gammarus pseudolimnaeus,Gammarus pseudolimnaeus,Crustaceans;Standard Test Species,crusta,444,296,1,1,1,1
374,,Lampsilis siliquoidea,Lampsilis siliquoidea,Molluscs,other,439,0,0,0,0,0
9942,,Pteronarcys californica,Pteronarcys californica,Insects/Spiders,other,431,0,0,0,0,0
648,648,Macrobrachium rosenbergii,Macrobrachium rosenbergii,Crustaceans,crusta,421,226,1,0,1,0
4764,,Dugesia japonica,Dugesia japonica,Worms,other,411,0,0,0,0,0
421,421,Artemia sp.,Artemia sp.,Crustaceans,crusta,394,316,1,0,0,0
1770,,Aedes albopictus,Aedes albopictus,Insects/Spiders;U.S. Invasive Species,other,389,0,0,0,0,0
698,,Bufo bufo ssp. japonicus,Bufo bufo ssp. japonicus,Amphibians,other,377,0,0,0,0,0
577,,Biomphalaria glabrata,Biomphalaria glabrata,Molluscs,other,371,0,0,0,0,0
202,202,Labeo rohita,Labeo rohita,Fish,fish,349,278,1,0,1,0
210,,Culex pipiens,Culex pipiens,Insects/Spiders,other,349,0,0,0,0,0
58477,58477,Selenastrum capricornutum,Selenastrum capricornutum,Algae;Standard Test Species,algae,346,141,1,0,0,0
487,487,Scenedesmus quadricauda,Scenedesmus quadricauda,Algae;Standard Test Species,algae,335,138,1,0,0,0
17854,2999:17854,Scenedesmus acutus var. acutus,Scenedesmus acutus var. acutus,Algae,algae,323,234,1,0,0,0
30,30,Lepomis cyanellus,Lepomis cyanellus,Fish;Standard Test Species,fish,311,205,1,1,1,1
39,39,Palaemonetes kadiakensis,Palaemonetes kadiakensis,Crustaceans,crusta,301,176,1,0,0,0
1847,,Culex pipiens ssp. pallens,Culex pipiens ssp. pallens,Insects/Spiders,other,300,0,0,0,0,0
6,6,Gammarus lacustris,Gammarus lacustris,Crustaceans;Standard Test Species,crusta,299,263,1,0,1,0
11779,11779,Litopenaeus vannamei,Penaeus vannamei,Crustaceans,crusta,299,171,1,0,0,0
901,901,Moina macrocopa,Moina macrocopa,Crustaceans,crusta,299,117,1,0,0,1
5473,5473,Lepeophtheirus salmonis,Lepeophtheirus salmonis,Crustaceans,crusta,298,75,1,1,1,1
1194,,Rhinella arenarum,Rhinella arenarum,Amphibians,other,298,0,0,0,0,0
471,471,Anabaena flosaquae,Anabaena flosaquae,Algae;Standard Test Species,algae,297,80,1,0,0,0
2422,,Anopheles stephensi,Anopheles stephensi,Insects/Spiders,other,297,0,0,0,0,0
345,,Brachionus plicatilis,Brachionus plicatilis,Other Invertebrates;Standard Test Species,other,293,0,0,0,0,0
4768,,Tetrahymena thermophila,Tetrahymena thermophila,Other Invertebrates;Standard Test Species,other,293,0,0,0,0,0
376,376,Acartia tonsa,Acartia tonsa,Crustaceans;Standard Test Species,crusta,292,152,1,0,0,0
4752,146:4752,Leuciscus idus ssp. melanotus,Leuciscus idus ssp. melanotus,Fish,fish,283,315,1,0,1,0
609,609,Asellus aquaticus,Asellus aquaticus,Crustaceans,crusta,279,193,1,1,1,1
1640,,Lymnaea acuminata,Lymnaea acuminata,Molluscs,other,278,0,0,0,0,0
97,97,Gasterosteus aculeatus,Gasterosteus aculeatus,Fish;Standard Test Species,fish,277,210,1,1,1,1
59362,,Fistulifera pelliculosa,Fistulifera pelliculosa,Algae;Standard Test Species,algae,274,0,0,0,1,0
294,,Lymnaea stagnalis,Lymnaea stagnalis,Molluscs;Standard Test Species,other,274,0,0,0,0,0
579,579,Channa orientalis,Channa orientalis,Fish,fish,269,259,1,0,1,0
102,102,Procambarus clarkii,Procambarus clarkii,Crustaceans,crusta,269,197,1,0,1,0
422,422,Cirrhinus mrigala,Cirrhinus mrigala,Fish,fish,268,176,1,0,1,0
1342,1342,Corophium volutator,Corophium volutator,Crustaceans;Standard Test Species,crusta,263,170,1,0,0,1
4403,4403,Microcystis aeruginosa,Microcystis aeruginosa,Algae;Standard Test Species,algae,263,85,1,1,1,0
1087,,Myriophyllum spicatum,Myriophyllum spicatum,"Flowers, Trees, Shrubs, Ferns;Standard Test Species;U.S. Invasive Species",other,262,0,0,0,0,0
2638,2638,Thamnocephalus platyurus,Thamnocephalus platyurus,Crustaceans,crusta,260,141,1,0,0,0
640,,Lumbriculus variegatus,Lumbriculus variegatus,Worms;Standard Test Species,other,259,0,0,0,0,0
114,,Philodina acuticornis,Philodina acuticornis,Other Invertebrates,other,257,0,0,0,0,0
407,407,Notopterus notopterus,Notopterus notopterus,Fish,fish,255,245,1,1,1,1
11,11,Crangon crangon,Crangon crangon,Crustaceans,crusta,252,100,1,1,1,1
716,,Scolelepis fulginosa,Scolelepis fulginosa,Worms,other,251,0,0,0,0,0
4594,962:4594:11172,Chlorella fusca var. vacuolata,Chlorella fusca var. vacuolata,Algae,algae,249,201,1,0,0,0
330,330,Phaeodactylum tricornutum,Phaeodactylum tricornutum,Algae;Standard Test Species,algae,247,52,1,1,1,0
2599,2599,Ptychocheilus lucius,Ptychocheilus lucius,Fish;U.S. Threatened and Endangered Species,fish,240,167,1,1,1,1
298,298,Dunaliella tertiolecta,Dunaliella tertiolecta,Algae;Standard Test Species,algae,240,79,1,0,0,0
4647,4647,Thalassiosira pseudonana,Thalassiosira pseudonana,Algae;Standard Test Species,algae,237,100,1,1,1,0
224,,Neanthes arenaceodentata,Neanthes arenaceodentata,Worms;Standard Test Species,other,236,0,0,0,0,0
669,669,Streptocephalus proboscideus,Streptocephalus proboscideus,Crustaceans,crusta,235,224,1,0,0,0
113,113,Clarias batrachus,Clarias batrachus,Fish,fish,232,176,1,0,1,0
218,,Dreissena polymorpha,Dreissena polymorpha,Molluscs;U.S. Invasive Species,other,232,0,0,0,0,0
341,341,Menidia beryllina,Menidia beryllina,Fish;Standard Test Species,fish,231,154,1,1,1,1
18447,,Chironomus dilutus,Chironomus dilutus,Insects/Spiders;Standard Test Species,other,230,0,0,0,0,0
388,388,Penaeus japonicus,Penaeus japonicus,Crustaceans,crusta,227,202,1,1,1,1
1049,,Culex pipiens ssp. quinquefasciata,Culex pipiens ssp. quinquefasciata,Insects/Spiders,other,226,0,0,0,0,0
697,,Indoplanorbis exustus,Indoplanorbis exustus,Molluscs,other,226,0,0,0,0,0
101,101,Jordanella floridae,Jordanella floridae,Fish;Standard Test Species,fish,225,114,1,1,1,1
212,212,Nitocra spinipes,Nitocra spinipes,Crustaceans;Standard Test Species,crusta,221,167,1,0,0,0
157,,Cloeon dipterum,Cloeon dipterum,Insects/Spiders,other,220,0,0,0,0,0
375,375,Menidia menidia,Menidia menidia,Fish;Standard Test Species,fish,219,164,1,1,1,1
219,219,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Fish,fish,219,156,1,1,1,1
133,133,Ameiurus melas,Ameiurus melas,Fish,fish,218,131,1,1,1,1
252,252,Penaeus monodon,Penaeus monodon,Crustaceans,crusta,214,144,1,0,1,0
652,652,Palaemonetes sp.,Palaemonetes sp.,Crustaceans,crusta,213,202,1,0,0,0
339,339,Cancer magister,Cancer magister,Crustaceans,crusta,211,137,1,0,0,0
575,,Crassostrea gigas,Crassostrea gigas,Molluscs;Standard Test Species,other,207,0,0,0,0,0
10300,,Spirostomum ambiguum,Spirostomum ambiguum,Other Invertebrates,other,206,0,0,0,0,0
112,112,Notemigonus crysoleucas,Notemigonus crysoleucas,Fish,fish,205,108,1,1,1,1
326,326,Isochrysis galbana,Isochrysis galbana,Algae,algae,205,57,1,1,1,0
196,196,Pimephales notatus,Pimephales notatus,Fish,fish,204,147,1,1,1,1
311,311,Chlorella sp.,Chlorella sp.,Algae,algae,202,54,1,0,0,0
240,240,Daphnia carinata,Daphnia carinata,Crustaceans,crusta,201,121,1,0,0,0
1874,1874,Paralichthys olivaceus,Paralichthys olivaceus,Fish,fish,200,105,1,0,1,0
886,,Capitella capitata,Capitella capitata,Worms;Standard Test Species,other,199,0,0,0,0,0
11462,,Myriophyllum sibiricum,Myriophyllum sibiricum,"Flowers, Trees, Shrubs, Ferns",other,198,0,0,0,0,0
1632,1632,Colisa fasciata,Colisa fasciata,Fish,fish,196,179,1,0,0,0
131,131,Esox lucius,Esox lucius,Fish;Standard Test Species,fish,196,86,1,1,1,1
71,71,Mugil cephalus,Mugil cephalus,Fish,fish,195,171,1,1,1,1
1444,,Viviparus bengalensis,Viviparus bengalensis,Molluscs,other,192,0,0,0,0,0
391,391,Anguilla japonica,Anguilla japonica,Fish,fish,186,151,1,1,1,1
18595,,Girardia tigrina,Girardia tigrina,Worms;Standard Test Species,other,184,0,0,0,0,0
110,110,Leiostomus xanthurus,Leiostomus xanthurus,Fish;Standard Test Species,fish,183,141,1,0,1,0
572,572,Gibelion catla,Gibelion catla,Fish,fish,183,119,1,0,0,0
346,346,Homarus americanus,Homarus americanus,Crustaceans,crusta,182,100,1,1,1,1
201,201,Ctenopharyngodon idella,Ctenopharyngodon idella,Fish;U.S. Invasive Species,fish,180,140,1,1,1,1
49914,49914,Farfantepenaeus duorarum,Penaeus duorarum,Crustaceans;Standard Test Species,crusta,178,138,1,0,0,0
76,76,Callinectes sapidus,Callinectes sapidus,Crustaceans;Standard Test Species,crusta,178,88,1,0,1,0
1520,21:1520:3020,Cyprinus carpio ssp. communis,Cyprinus carpio ssp. communis,Fish,fish,178,0,0,0,0,0
358,,Lithobates pipiens,Lithobates pipiens,Amphibians;Standard Test Species,other,178,0,0,0,0,0
2617,2617,Xyrauchen texanus,Xyrauchen texanus,Fish;U.S. Threatened and Endangered Species,fish,177,112,1,1,1,1
283,283,Catostomus commersoni,Catostomus commersonii,Fish;Standard Test Species,fish,167,75,1,0,0,0
199,,Cipangopaludina malleata,Cipangopaludina malleata,Molluscs,other,164,0,0,0,0,0
1673,,Culex nigripalpus,Culex nigripalpus,Insects/Spiders,other,163,0,0,0,0,0
4755,4755,Pagrus major,Pagrus major,Fish,fish,162,92,1,0,1,0
2341,2341,Chaetogammarus marinus,Chaetogammarus marinus,Crustaceans,crusta,162,66,1,0,1,0
19218,,Culicoides furens,Culicoides furens,Insects/Spiders,other,162,0,0,0,0,0
4600,,Villosa iris,Villosa iris,Molluscs,other,162,0,0,0,0,0
122,,Chironomus sp.,Chironomus sp.,Insects/Spiders;Standard Test Species,other,161,0,0,0,0,0
2297,,Lemna aequinoctialis,Lemna aequinoctialis,"Flowers, Trees, Shrubs, Ferns",other,160,0,0,0,0,0
899,,Physella acuta,Physella acuta,Molluscs,other,160,0,0,0,0,0
308,308,Mystus vittatus,Mystus vittatus,Fish,fish,157,128,1,0,1,0
347,347,Crangon septemspinosa,Crangon septemspinosa,Crustaceans;Standard Test Species,crusta,156,95,1,0,0,0
208,,Mytilus edulis,Mytilus edulis,Molluscs;Standard Test Species,other,154,0,0,0,0,0
4810,4810,Gila elegans,Gila elegans,Fish;U.S. Threatened and Endangered Species,fish,149,81,1,1,1,1
2999,2999:17854,Scenedesmus acutus,Scenedesmus acutus,Algae;Standard Test Species,algae,147,0,0,0,0,0
1460,1460,Paratya australiensis,Paratya australiensis,Crustaceans,crusta,146,70,1,0,1,0
5940,,Utterbackia imbecillis,Utterbackia imbecillis,Molluscs;Standard Test Species,other,145,0,0,0,0,0
2079,2079,Clarias gariepinus,Clarias gariepinus,Fish,fish,144,93,1,1,1,1
4637,,Physa heterostropha,Physa heterostropha,Molluscs;Standard Test Species,other,144,0,0,0,0,0
12,,Cerastoderma edule,Cerastoderma edule,Molluscs,other,143,0,0,0,0,0
898,,Semisulcospira libertina,Semisulcospira libertina,Molluscs,other,140,0,0,0,0,0
3056,3056,Sander vitreus,Sander vitreus,Fish,fish,139,87,1,1,1,1
751,,Isonychia sp.,Isonychia sp.,Insects/Spiders,other,136,0,0,0,0,0
978,,Myriophyllum aquaticum,Myriophyllum aquaticum,"Flowers, Trees, Shrubs, Ferns;U.S. Invasive Species",other,135,0,0,0,0,0
304,,Macoma balthica,Macoma balthica,Molluscs,other,134,0,0,0,0,0
2449,2449,Cypris subglobosa,Cypris subglobosa,Crustaceans,crusta,133,113,1,0,0,0
2461,2461,Scylla serrata,Scylla serrata,Crustaceans,crusta,132,99,1,0,1,0
39433,,Agalychnis callidryas,Agalychnis callidryas,Amphibians,other,131,0,0,0,0,0
3045,3045,Fenneropenaeus penicillatus,Fenneropenaeus penicillatus,Crustaceans,crusta,130,116,1,0,0,0
4598,4598,Tanichthys albonubes,Tanichthys albonubes,Fish,fish,129,113,1,0,1,0
736,736,Oncorhynchus keta,Oncorhynchus keta,Fish;U.S. Threatened and Endangered Species,fish,128,93,1,1,1,1
1009,1009,Penaeus indicus,Penaeus indicus,Crustaceans,crusta,127,102,1,0,0,0
55,,Mercenaria mercenaria,Mercenaria mercenaria,Molluscs;Standard Test Species,other,126,0,0,0,0,0
445,445,Chasmichthys dolichognathus,Chasmichthys dolichognathus,Fish,fish,125,109,1,0,0,0
53,53,Orconectes nais,Orconectes nais,Crustaceans,crusta,125,85,1,0,0,0
27853,27853,Pseudosida ramosa,Pseudosida ramosa,Crustaceans,crusta,122,122,1,0,0,0
18950,,Aquarana catesbeiana,Aquarana catesbeiana,Amphibians;U.S. Invasive Species,other,122,0,0,0,0,0
574,574,Anguilla anguilla,Anguilla anguilla,Fish,fish,120,114,1,1,1,1
973,973,Simocephalus vetulus,Simocephalus vetulus,Crustaceans,crusta,120,73,1,0,0,0
233,,Limnodrilus hoffmeisteri,Limnodrilus hoffmeisteri,Worms,other,120,0,0,0,0,0
16179,16179,Salvelinus confluentus,Salvelinus confluentus,Fish;U.S. Threatened and Endangered Species,fish,119,17,1,0,1,0
146,146:4752,Leuciscus idus,Leuciscus idus,Fish,fish,119,0,0,0,1,0
96,96,Lepomis microlophus,Lepomis microlophus,Fish,fish,118,64,1,1,1,1
1230,,Culex pipiens ssp. molestus,Culex pipiens ssp. molestus,Insects/Spiders,other,117,0,0,0,0,0
127,127,Anguilla rostrata,Anguilla rostrata,Fish,fish,115,99,1,0,1,0
54,54,Simocephalus serrulatus,Simocephalus serrulatus,Crustaceans,crusta,115,89,1,0,0,1
11611,34:11611:11783:32408:32409,Oncorhynchus clarkii ssp. henshawi,Oncorhynchus clarkii ssp. henshawi,Fish;U.S. Threatened and Endangered Species,fish,114,0,0,0,0,0
31613,,Euphlyctis hexadactylus,Euphlyctis hexadactylus,Amphibians,other,113,0,0,0,0,0
11660,2547:11660,Oncorhynchus gilae ssp. apache,Oncorhynchus gilae ssp. apache,Fish;U.S. Threatened and Endangered Species,fish,112,59,1,1,1,1
10,10,Carcinus maenas,Carcinus maenas,Crustaceans;Standard Test Species;U.S. Invasive Species,crusta,112,42,1,0,0,1
59434,59434,Holmesimysis costata,Holmesimysis costata,Crustaceans,crusta,112,22,1,0,0,0
104,,Tanytarsus dissimilis,Tanytarsus dissimilis,Insects/Spiders,other,112,0,0,0,0,0
90,90:5780,Oncorhynchus nerka,Oncorhynchus nerka,Fish;U.S. Threatened and Endangered Species,fish,111,77,1,1,1,1
170,170,Daphnia longispina,Daphnia longispina,Crustaceans,crusta,111,73,1,0,0,1
50,50,Caecidotea brevicauda,Caecidotea brevicauda,Crustaceans,crusta,110,72,1,0,0,0
39515,39515,Caligus rogercresseyi,Caligus rogercresseyi,Crustaceans,crusta,110,48,1,0,1,0
387,387,Metapenaeus monoceros,Metapenaeus monoceros,Crustaceans,crusta,108,103,1,0,0,0
1579,,Culex tritaeniorhynchus,Culex tritaeniorhynchus,Insects/Spiders,other,108,0,0,0,0,0
409,409,Fundulus similis,Fundulus similis,Fish;Standard Test Species,fish,107,87,1,0,1,0
745,745,Uca pugilator,Uca pugilator,Crustaceans,crusta,107,41,1,0,0,0
2517,2517,Acipenser transmontanus,Acipenser transmontanus,Fish;U.S. Threatened and Endangered Species,fish,107,25,1,1,1,1
64,64,Carassius carassius,Carassius carassius,Fish,fish,106,83,1,1,1,1
1406,,Aquatic Community,Aquatic Community,Miscellaneous,other,105,0,0,0,0,0
764,,Bufo woodhousei ssp. fowleri,Bufo woodhousei ssp. fowleri,Amphibians,other,105,0,0,0,0,0
410,,Colpidium campylum,Colpidium campylum,Other Invertebrates,other,105,0,0,0,0,0
1146,,Duttaphrynus melanostictus,Duttaphrynus melanostictus,Amphibians,other,104,0,0,0,0,0
11487,98:11487,Navicula seminulum var. hustedtii,Navicula seminulum var. hustedtii,Algae,algae,103,86,1,0,0,0
300,300,Chlorococcum sp.,Chlorococcum sp.,Algae,algae,103,5,1,0,0,0
909,,Elodea canadensis,Elodea canadensis,"Flowers, Trees, Shrubs, Ferns",other,103,0,0,0,0,0
552,552,Anabaena variabilis,Trichormus variabilis,Algae,algae,102,4,1,0,0,0
99,,Hesperoperla pacifica,Hesperoperla pacifica,Insects/Spiders,other,102,0,0,0,0,0
16801,,Xenopus tropicalis,Xenopus tropicalis,Amphibians;Standard Test Species,other,102,0,0,0,0,0
209,,Dugesia dorotocephala,Dugesia dorotocephala,Worms,other,101,0,0,0,0,0
79,,Pteronarcella badia,Pteronarcella badia,Insects/Spiders,other,101,0,0,0,0,0
2807,,Hydra vulgaris,Hydra vulgaris,Other Invertebrates,other,100,0,0,0,0,0
2208,2208,Atherinops affinis,Atherinops affinis,Fish,fish,99,16,1,0,1,0
9992,,Chlorococcales,Chlorococcales,Algae,algae,99,0,0,0,0,0
6108,,Lampsilis fasciola,Lampsilis fasciola,Molluscs,other,99,0,0,0,0,0
997,997,Misgurnus anguillicaudatus,Misgurnus anguillicaudatus,Fish,fish,98,60,1,0,1,0
2389,2389,Macrobrachium lamarrei,Macrobrachium lamarrei,Crustaceans,crusta,97,89,1,0,0,0
2488,2488,Portunus pelagicus,Portunus pelagicus,Crustaceans,crusta,96,61,1,0,0,0
6038,6038,Tigriopus japonicus,Tigriopus japonicus,Crustaceans;Standard Test Species,crusta,95,72,1,0,0,0
126,126,Lepomis gibbosus,Lepomis gibbosus,Fish,fish,95,62,1,0,1,0
211,211,Alburnus alburnus,Alburnus alburnus,Fish;Standard Test Species,fish,94,66,1,0,1,0
241,241,Daphnia pulicaria,Daphnia pulicaria,Crustaceans,crusta,94,45,1,0,0,0
2495,2495,Tilapia zillii,Tilapia zillii,Fish,fish,90,79,1,0,0,0
672,672,Gymnodinium splendens,Gymnodinium splendens,Algae,algae,90,18,1,0,0,0
18149,,Plasmodium falciparum,Plasmodium falciparum,Other Invertebrates,other,90,0,0,0,0,0
3044,3044,Penaeus chinensis,Penaeus chinensis,Crustaceans,crusta,89,71,1,0,1,0
1920,,Lithobates clamitans ssp. clamitans,Lithobates clamitans ssp. clamitans,Amphibians,other,89,0,0,0,0,0
4985,,Rana limnocharis,Rana limnocharis,Amphibians,other,89,0,0,0,0,0
629,629,Procambarus sp.,Procambarus sp.,Crustaceans;Standard Test Species,crusta,88,53,1,0,0,0
271,271,Cottus bairdi,Cottus bairdi,Fish,fish,88,4,1,0,0,0
20050,,Actinonaias ligamentina,Actinonaias ligamentina,Molluscs,other,87,0,0,0,0,0
5593,5593,Cnesterodon decemmaculatus,Cnesterodon decemmaculatus,Fish,fish,86,81,1,0,1,0
31614,,Radix luteola,Radix luteola,Molluscs,other,86,0,0,0,0,0
513,513,Orconectes immunis,Orconectes immunis,Crustaceans,crusta,85,35,1,0,0,0
546,546,Anabaena sp.,Anabaena sp.,Algae,algae,84,34,1,0,0,0
11739,11739,Gobiocypris rarus,Gobiocypris rarus,Fish,fish,84,22,1,0,1,0
1046,,Bufo vulgaris ssp. formosus,Bufo vulgaris ssp. formosus,Amphibians,other,84,0,0,0,0,0
1165,,Paramecium caudatum,Paramecium caudatum,Other Invertebrates,other,84,0,0,0,0,0
2044,2044,Terapon jarbua,Terapon jarbua,Fish,fish,83,65,1,0,1,0
709,,Anopheles albimanus,Anopheles albimanus,Insects/Spiders,other,83,0,0,0,0,0
1186,,Branchiura sowerbyi,Branchiura sowerbyi,Worms;Standard Test Species,other,82,0,0,0,0,0
72,72,Palaemonetes vulgaris,Palaemon vulgaris,Crustaceans;Standard Test Species,crusta,81,58,1,0,0,0
963,963,Ceriodaphnia reticulata,Ceriodaphnia reticulata,Crustaceans,crusta,80,55,1,0,0,0
3004,3004,Artemia franciscana,Artemia franciscana,Crustaceans,crusta,80,44,1,0,1,0
497,497:1320,Ankistrodesmus falcatus,Ankistrodesmus falcatus,Algae,algae,79,32,1,0,0,0
979,979,Anabaena cylindrica,Anabaena cylindrica,Algae,algae,79,14,1,1,1,0
357,,Microhyla ornata,Microhyla ornata,Amphibians,other,79,0,0,0,0,0
1075,,Rana cyanophlyctis,Rana cyanophlyctis,Amphibians,other,79,0,0,0,0,0
867,867,Girella punctata,Girella punctata,Fish,fish,78,78,1,0,1,0
1260,1260:1280,Daphnia galeata,Daphnia galeata,Crustaceans,crusta,78,19,1,0,0,0
1584,1584,Puntius sophore,Puntius sophore,Fish,fish,76,60,1,0,1,0
400,400,Thymallus arcticus,Thymallus arcticus,Fish,fish,76,59,1,0,1,1
732,732,Palaemon elegans,Palaemon elegans,Crustaceans,crusta,76,47,1,0,0,1
238,,Aedes nigromaculis,Aedes nigromaculis,Insects/Spiders,other,76,0,0,0,0,0
480,,Anodonta cygnea,Anodonta cygnea,Molluscs,other,76,0,0,0,0,0
4788,,Culex pipiens ssp. fatigans,Culex pipiens ssp. fatigans,Insects/Spiders,other,76,0,0,0,0,0
28134,,Lithobates sphenocephalus,Lithobates sphenocephalus,Amphibians,other,76,0,0,0,0,0
1043,,Lymnaea sp.,Lymnaea sp.,Molluscs,other,76,0,0,0,0,0
744,,Nereis diversicolor,Nereis diversicolor,Worms,other,76,0,0,0,0,0
